epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0097,1.41513,1.44888,1.34361,0.91806,0.85231,0.93426,0.5974,1.1918,1.68539,1.14236,0.00010002,0.00010002,0.00010002
2,47.1594,1.36491,1.30153,1.29445,0.94062,0.89815,0.93676,0.60971,1.18917,1.3988,1.12084,0.000214565,0.000214565,0.000214565
3,66.7386,1.31516,1.24061,1.26048,0.96552,0.92543,0.97882,0.65338,1.20097,1.15318,1.08622,0.000326799,0.000326799,0.000326799
4,85.979,1.30574,1.17468,1.24058,0.97661,0.95543,0.96982,0.63439,1.17944,1.01174,1.08348,0.000436722,0.000436722,0.000436722
5,106.569,1.2907,1.14879,1.22217,0.97636,0.9675,0.98176,0.63705,1.21993,0.95736,1.10807,0.000544336,0.000544336,0.000544336
6,125.967,1.24474,1.08289,1.20224,0.9495,0.91984,0.98028,0.64263,1.17149,1.10396,1.08679,0.000649638,0.000649638,0.000649638
7,145.15,1.23082,1.04444,1.19384,0.93144,0.89189,0.97291,0.61867,1.24371,1.04655,1.14317,0.00075263,0.00075263,0.00075263
8,165.792,1.32402,1.03617,1.24721,0.82944,0.66476,0.88518,0.57434,1.1271,1.33387,1.10592,0.000853312,0.000853312,0.000853312
9,186.019,1.27816,1.00718,1.21801,0.91906,0.91089,0.98189,0.66454,1.0793,0.80768,1.05716,0.000951684,0.000951684,0.000951684
